iter	Passed	Remaining
892	13579	1627
893	13594	1611
894	13608	1596
895	13623	1581
896	13637	1565
897	13652	1550
898	13665	1535
899	13682	1520
900	13696	1504
901	13711	1489
902	13725	1474
903	13741	1459
904	13754	1443
905	13770	1428
906	13786	1413
907	13802	1398
908	13815	1383
909	13830	1367
910	13844	1352
911	13860	1337
912	13876	1322
913	13891	1307
914	13905	1291
915	13920	1276
916	13932	1261
917	13945	1245
918	13960	1230
919	13976	1215
920	13992	1200
921	14008	1185
922	14021	1169
923	14035	1154
924	14051	1139
925	14069	1124
926	14084	1109
927	14096	1093
928	14112	1078
929	14128	1063
930	14144	1048
931	14161	1033
932	14177	1018
933	14191	1002
934	14206	987
935	14222	972
936	14237	957
937	14256	942
938	14270	927
939	14285	911
940	14300	896
941	14315	881
942	14329	866
943	14342	850
944	14358	835
945	14373	820
946	14388	805
947	14405	790
948	14421	775
949	14438	759
950	14452	744
951	14466	729
952	14481	714
953	14499	699
954	14513	683
955	14528	668
956	14541	653
957	14555	638
958	14570	622
959	14588	607
960	14602	592
961	14618	577
962	14633	562
963	14648	547
964	14666	531
965	14679	516
966	14692	501
967	14706	486
968	14723	471
969	14735	455
970	14750	440
971	14763	425
972	14777	410
973	14793	394
974	14806	379
975	14821	364
976	14837	349
977	14850	334
978	14865	318
979	14878	303
980	14894	288
981	14909	273
982	14924	258
983	14938	242
984	14954	227
985	14971	212
986	14985	197
987	14997	182
988	15011	166
989	15027	151
990	15042	136
991	15059	121
992	15075	106
993	15091	91
994	15107	75
995	15121	60
996	15136	45
997	15156	30
998	15173	15
999	15188	0
